"","face","suit","value","game","win","start"
"3853","3","S",3,1049,0,0
"3854","K","D",10,1049,0,0
"3855","J","C",10,1050,0,1
"3856","8","D",8,1050,0,1
"3857","10","D",10,1050,0,0
"3858","3","D",3,1051,1,1
"3859","9","C",9,1051,1,1
"3860","4","S",4,1051,1,0
"3861","5","S",5,1051,1,0
"3862","8","S",8,1052,0,1
"3863","6","H",6,1052,0,1
"3864","5","C",5,1052,0,0
"3865","10","D",10,1052,0,0
"3866","4","D",4,1053,0,1
"3867","6","S",6,1053,0,1
"3868","4","C",4,1053,0,0
"3869","5","C",5,1053,0,0
"3870","Q","H",10,1053,0,0
"3871","3","C",3,1054,0,1
"3872","Q","D",10,1054,0,1
"3873","2","D",2,1054,0,0
"3874","7","S",7,1054,0,0
"3875","3","S",3,1055,0,1
"3876","4","H",4,1055,0,1
"3877","5","H",5,1055,0,0
"3878","8","H",8,1055,0,0
"3879","10","D",10,1055,0,0
"3880","10","H",10,1056,0,1
"3881","6","C",6,1056,0,1
"3882","8","S",8,1056,0,0
"3883","5","C",5,1057,0,1
"3884","10","C",10,1057,0,1
"3885","3","D",3,1057,0,0
"3886","K","D",10,1057,0,0
"3887","4","S",4,1058,0,1
"3888","8","S",8,1058,0,1
"3889","2","H",2,1058,0,0
"3890","4","D",4,1058,0,0
"3891","Q","H",10,1058,0,0
"3892","8","S",8,1059,0,1
"3893","J","D",10,1059,0,1
"3894","A","C",1,1059,0,0
"3895","6","S",6,1059,0,0
"3896","10","H",10,1060,0,1
"3897","2","C",2,1060,0,1
"3898","6","C",6,1060,0,0
"3899","9","S",9,1060,0,0
"3900","7","C",7,1061,0,1
"3901","10","H",10,1061,0,1
"3902","5","H",5,1061,0,0
"3903","J","H",10,1062,0,1
"3904","J","C",10,1062,0,1
"3905","10","D",10,1062,0,0
"3906","3","H",3,1063,0,1
"3907","3","S",3,1063,0,1
"3908","9","D",9,1063,0,0
"3909","10","C",10,1063,0,0
"3910","Q","H",10,1064,1,1
"3911","2","D",2,1064,1,1
"3912","9","S",9,1064,1,0
"3913","10","C",10,1065,1,1
"3914","A","C",1,1065,1,1
"3915","8","H",8,1066,0,1
"3916","10","H",10,1066,0,1
"3917","9","C",9,1066,0,0
"3918","6","D",6,1067,0,1
"3919","3","D",3,1067,0,1
"3920","J","H",10,1067,0,0
"3921","6","H",6,1067,0,0
"3922","2","D",2,1068,1,1
"3923","6","D",6,1068,1,1
"3924","5","H",5,1068,1,0
"3925","8","C",8,1068,1,0
"3926","6","H",6,1069,0,1
"3927","K","H",10,1069,0,1
"3928","10","D",10,1069,0,0
"3929","7","C",7,1070,0,1
"3930","Q","H",10,1070,0,1
"3931","2","D",2,1070,0,0
"3932","3","D",3,1070,0,0
"3933","3","S",3,1071,0,1
"3934","5","S",5,1071,0,1
"3935","A","C",1,1071,0,0
"3936","J","C",10,1071,0,0
"3937","5","H",5,1071,0,0
"3938","8","S",8,1072,1,1
"3939","9","C",9,1072,1,1
"3940","4","D",4,1072,1,0
"3941","K","H",10,1073,1,1
"3942","A","H",1,1073,1,1
"3943","5","C",5,1074,0,1
"3944","A","S",1,1074,0,1
"3945","8","D",8,1074,0,0
"3946","2","S",2,1074,0,0
"3947","7","H",7,1074,0,0
"3948","Q","H",10,1075,0,1
"3949","9","S",9,1075,0,1
"3950","4","D",4,1075,0,0
"3951","4","H",4,1076,0,1
"3952","A","D",1,1076,0,1
"3953","A","S",1,1076,0,0
"3954","7","H",7,1076,0,0
"3955","10","S",10,1076,0,0
"3956","10","S",10,1077,0,1
"3957","6","H",6,1077,0,1
"3958","A","C",1,1077,0,0
"3959","A","D",1,1077,0,0
"3960","4","H",4,1077,0,0
"3961","6","D",6,1078,0,1
"3962","6","S",6,1078,0,1
"3963","3","S",3,1078,0,0
"3964","4","H",4,1078,0,0
"3965","7","H",7,1078,0,0
"3966","6","C",6,1079,0,1
"3967","8","D",8,1079,0,1
"3968","10","H",10,1079,0,0
"3969","Q","D",10,1080,0,1
"3970","3","S",3,1080,0,1
"3971","2","H",2,1080,0,0
"3972","10","S",10,1080,0,0
"3973","Q","C",10,1081,0,1
"3974","5","H",5,1081,0,1
"3975","7","S",7,1081,0,0
"3976","10","C",10,1082,0,1
"3977","K","S",10,1082,0,1
"3978","4","D",4,1082,0,0
"3979","Q","D",10,1083,1,1
"3980","3","D",3,1083,1,1
"3981","3","S",3,1083,1,0
"3982","5","S",5,1083,1,0
"3983","J","D",10,1084,0,1
"3984","5","H",5,1084,0,1
"3985","J","S",10,1084,0,0
"3986","5","C",5,1085,0,1
"3987","4","C",4,1085,0,1
"3988","5","D",5,1085,0,0
"3989","3","H",3,1085,0,0
"3990","10","D",10,1085,0,0
"3991","3","S",3,1086,1,1
"3992","7","D",7,1086,1,1
"3993","A","D",1,1086,1,0
"3994","K","S",10,1087,0,1
"3995","3","C",3,1087,0,1
"3996","5","H",5,1087,0,0
"3997","8","C",8,1087,0,0
"3998","4","C",4,1088,0,1
"3999","6","S",6,1088,0,1
"4000","J","S",10,1088,0,0
"4001","9","D",9,1088,0,0
"4002","10","S",10,1089,0,1
"4003","Q","D",10,1089,0,1
"4004","3","C",3,1089,0,0
"4005","7","D",7,1090,0,1
"4006","3","S",3,1090,0,1
"4007","4","S",4,1090,0,0
"4008","Q","D",10,1090,0,0
"4009","8","C",8,1091,1,1
"4010","6","D",6,1091,1,1
"4011","3","S",3,1091,1,0
"4012","3","C",3,1091,1,0
"4013","A","S",1,1091,1,0
"4014","9","S",9,1092,0,1
"4015","5","S",5,1092,0,1
"4016","K","S",10,1092,0,0
"4017","J","S",10,1093,0,1
"4018","K","C",10,1093,0,1
"4019","10","H",10,1093,0,0
"4020","A","S",1,1094,0,1
"4021","9","C",9,1094,0,1
"4022","Q","H",10,1094,0,0
"4023","K","H",10,1094,0,0
"4024","A","S",1,1095,1,1
"4025","10","S",10,1095,1,1
"4026","6","C",6,1096,0,1
"4027","K","H",10,1096,0,1
"4028","3","S",3,1096,0,0
"4029","9","H",9,1096,0,0
"4030","8","C",8,1097,0,1
"4031","Q","H",10,1097,0,1
"4032","Q","D",10,1097,0,0
"4033","9","D",9,1098,0,1
"4034","2","C",2,1098,0,1
"4035","2","H",2,1098,0,0
"4036","5","S",5,1098,0,0
"4037","J","D",10,1098,0,0
"4038","6","S",6,1099,0,1
"4039","A","H",1,1099,0,1
"4040","J","H",10,1099,0,0
"4041","10","H",10,1099,0,0
"4042","7","C",7,1100,0,1
"4043","Q","D",10,1100,0,1
"4044","9","C",9,1100,0,0
"4045","6","D",6,1101,0,1
"4046","Q","H",10,1101,0,1
"4047","8","S",8,1101,0,0
"4048","7","D",7,1102,0,1
"4049","3","S",3,1102,0,1
"4050","6","C",6,1102,0,0
"4051","J","H",10,1102,0,0
"4052","3","H",3,1103,0,1
"4053","8","H",8,1103,0,1
"4054","A","D",1,1103,0,0
"4055","Q","H",10,1103,0,0
"4056","K","D",10,1104,0,1
"4057","10","D",10,1104,0,1
"4058","8","S",8,1104,0,0
"4059","8","C",8,1105,0,1
"4060","A","H",1,1105,0,1
"4061","5","C",5,1105,0,0
"4062","J","H",10,1105,0,0
"4063","8","C",8,1106,0,1
"4064","2","C",2,1106,0,1
"4065","9","S",9,1106,0,0
"4066","7","C",7,1106,0,0
"4067","3","H",3,1107,0,1
"4068","4","D",4,1107,0,1
"4069","J","C",10,1107,0,0
"4070","9","S",9,1107,0,0
"4071","A","H",1,1108,1,1
"4072","K","D",10,1108,1,1
"4073","J","D",10,1109,1,1
"4074","4","C",4,1109,1,1
"4075","7","S",7,1109,1,0
"4076","8","H",8,1110,0,1
"4077","2","C",2,1110,0,1
"4078","2","H",2,1110,0,0
"4079","3","H",3,1110,0,0
"4080","10","H",10,1110,0,0
"4081","4","H",4,1111,0,1
"4082","J","H",10,1111,0,1
"4083","9","D",9,1111,0,0
"4084","A","H",1,1112,0,1
"4085","2","S",2,1112,0,1
"4086","5","C",5,1112,0,0
"4087","9","C",9,1112,0,0
"4088","9","D",9,1112,0,0
"4089","J","S",10,1113,0,1
"4090","Q","C",10,1113,0,1
"4091","2","C",2,1113,0,0
"4092","7","C",7,1114,0,1
"4093","J","D",10,1114,0,1
"4094","5","C",5,1114,0,0
"4095","4","D",4,1115,0,1
"4096","6","S",6,1115,0,1
"4097","7","D",7,1115,0,0
"4098","A","S",1,1115,0,0
"4099","K","D",10,1115,0,0
"4100","3","H",3,1116,0,1
"4101","4","C",4,1116,0,1
"4102","J","S",10,1116,0,0
"4103","8","D",8,1116,0,0
"4104","3","S",3,1117,0,1
"4105","5","H",5,1117,0,1
"4106","4","H",4,1117,0,0
"4107","Q","D",10,1117,0,0
"4108","5","C",5,1118,0,1
"4109","10","S",10,1118,0,1
"4110","Q","H",10,1118,0,0
"4111","J","C",10,1119,0,1
"4112","10","D",10,1119,0,1
"4113","2","S",2,1119,0,0
"4114","3","S",3,1120,0,1
"4115","8","S",8,1120,0,1
"4116","7","S",7,1120,0,0
"4117","2","S",2,1120,0,0
"4118","9","H",9,1120,0,0
"4119","4","C",4,1121,0,1
"4120","K","H",10,1121,0,1
"4121","2","S",2,1121,0,0
"4122","4","H",4,1121,0,0
"4123","9","H",9,1121,0,0
"4124","7","H",7,1122,0,1
"4125","5","D",5,1122,0,1
"4126","10","C",10,1122,0,0
"4127","5","C",5,1123,0,1
"4128","10","C",10,1123,0,1
"4129","7","H",7,1123,0,0
"4130","9","H",9,1124,0,1
"4131","A","C",1,1124,0,1
"4132","2","C",2,1124,0,0
"4133","3","D",3,1124,0,0
"4134","4","D",4,1124,0,0
"4135","5","C",5,1124,0,0
"4136","2","H",2,1125,0,1
"4137","J","C",10,1125,0,1
"4138","A","D",1,1125,0,0
"4139","10","C",10,1125,0,0
"4140","A","D",1,1126,1,1
"4141","J","H",10,1126,1,1
"4142","3","D",3,1127,1,1
"4143","K","S",10,1127,1,1
"4144","8","C",8,1127,1,0
"4145","7","C",7,1128,0,1
"4146","K","S",10,1128,0,1
"4147","6","D",6,1128,0,0
"4148","J","S",10,1129,1,1
"4149","K","S",10,1129,1,1
"4150","A","H",1,1129,1,0
"4151","3","C",3,1130,0,1
"4152","2","S",2,1130,0,1
"4153","10","S",10,1130,0,0
"4154","4","C",4,1130,0,0
"4155","3","H",3,1130,0,0
"4156","8","D",8,1131,0,1
"4157","A","D",1,1131,0,1
"4158","Q","S",10,1131,0,0
"4159","6","D",6,1131,0,0
"4160","4","S",4,1132,0,1
"4161","8","H",8,1132,0,1
"4162","7","S",7,1132,0,0
"4163","4","C",4,1132,0,0
"4164","4","H",4,1133,0,1
"4165","8","C",8,1133,0,1
"4166","4","D",4,1133,0,0
"4167","J","C",10,1133,0,0
"4168","10","C",10,1134,0,1
"4169","7","C",7,1134,0,1
"4170","J","C",10,1134,0,0
"4171","J","C",10,1135,1,1
"4172","2","D",2,1135,1,1
"4173","9","S",9,1135,1,0
"4174","3","C",3,1136,0,1
"4175","Q","C",10,1136,0,1
"4176","J","H",10,1136,0,0
"4177","7","S",7,1137,0,1
"4178","2","D",2,1137,0,1
"4179","4","D",4,1137,0,0
"4180","J","D",10,1137,0,0
"4181","3","C",3,1138,1,1
"4182","8","D",8,1138,1,1
"4183","K","D",10,1138,1,0
"4184","9","S",9,1139,0,1
"4185","5","H",5,1139,0,1
"4186","Q","H",10,1139,0,0
"4187","K","S",10,1140,0,1
"4188","9","S",9,1140,0,1
"4189","K","C",10,1140,0,0
"4190","3","H",3,1141,1,1
"4191","Q","S",10,1141,1,1
"4192","8","H",8,1141,1,0
"4193","5","S",5,1142,0,1
"4194","J","D",10,1142,0,1
"4195","Q","S",10,1142,0,0
"4196","K","S",10,1143,0,1
"4197","J","H",10,1143,0,1
"4198","K","H",10,1143,0,0
"4199","8","H",8,1144,0,1
"4200","9","S",9,1144,0,1
"4201","2","H",2,1144,0,0
"4202","K","S",10,1144,0,0
"4203","J","C",10,1145,1,1
"4204","9","S",9,1145,1,1
"4205","2","H",2,1145,1,0
"4206","J","C",10,1146,0,1
"4207","4","C",4,1146,0,1
"4208","Q","H",10,1146,0,0
"4209","8","C",8,1147,0,1
"4210","5","H",5,1147,0,1
"4211","6","D",6,1147,0,0
"4212","3","D",3,1147,0,0
"4213","8","D",8,1148,0,1
"4214","A","S",1,1148,0,1
"4215","6","D",6,1148,0,0
"4216","7","S",7,1148,0,0
"4217","4","C",4,1149,0,1
"4218","7","D",7,1149,0,1
"4219","5","H",5,1149,0,0
"4220","10","D",10,1149,0,0
"4221","J","D",10,1150,0,1
"4222","8","S",8,1150,0,1
"4223","9","D",9,1150,0,0
"4224","6","H",6,1151,0,1
"4225","8","H",8,1151,0,1
"4226","5","H",5,1151,0,0
"4227","J","S",10,1151,0,0
"4228","K","H",10,1152,0,1
"4229","5","D",5,1152,0,1
"4230","2","D",2,1152,0,0
"4231","5","C",5,1152,0,0
"4232","8","C",8,1153,0,1
"4233","K","C",10,1153,0,1
"4234","7","H",7,1153,0,0
"4235","4","D",4,1154,0,1
"4236","J","C",10,1154,0,1
"4237","4","C",4,1154,0,0
"4238","8","C",8,1154,0,0
"4239","3","S",3,1155,0,1
"4240","8","H",8,1155,0,1
"4241","5","C",5,1155,0,0
"4242","10","C",10,1155,0,0
"4243","10","H",10,1156,0,1
"4244","2","H",2,1156,0,1
"4245","7","C",7,1156,0,0
"4246","Q","S",10,1156,0,0
"4247","Q","D",10,1157,1,1
"4248","3","D",3,1157,1,1
"4249","8","D",8,1157,1,0
"4250","J","D",10,1158,0,1
"4251","Q","H",10,1158,0,1
"4252","7","S",7,1158,0,0
"4253","5","C",5,1159,0,1
"4254","8","C",8,1159,0,1
"4255","9","D",9,1159,0,0
"4256","8","D",8,1160,0,1
"4257","9","D",9,1160,0,1
"4258","J","H",10,1160,0,0
"4259","J","H",10,1161,0,1
"4260","6","H",6,1161,0,1
"4261","7","C",7,1161,0,0
"4262","3","H",3,1162,0,1
"4263","9","D",9,1162,0,1
"4264","7","C",7,1162,0,0
"4265","9","S",9,1162,0,0
"4266","8","D",8,1163,0,1
"4267","K","S",10,1163,0,1
"4268","J","H",10,1163,0,0
"4269","9","D",9,1164,0,1
"4270","8","D",8,1164,0,1
"4271","3","H",3,1164,0,0
"4272","7","S",7,1164,0,0
"4273","8","C",8,1165,0,1
"4274","K","C",10,1165,0,1
"4275","5","S",5,1165,0,0
"4276","6","D",6,1166,0,1
"4277","Q","H",10,1166,0,1
"4278","2","C",2,1166,0,0
"4279","4","H",4,1166,0,0
"4280","4","D",4,1167,0,1
"4281","6","S",6,1167,0,1
"4282","4","C",4,1167,0,0
"4283","Q","D",10,1167,0,0
"4284","4","D",4,1168,0,1
"4285","6","D",6,1168,0,1
"4286","6","S",6,1168,0,0
"4287","8","C",8,1168,0,0
"4288","10","S",10,1169,0,1
"4289","5","S",5,1169,0,1
"4290","K","S",10,1169,0,0
"4291","7","H",7,1170,0,1
"4292","Q","D",10,1170,0,1
"4293","6","D",6,1170,0,0
"4294","K","S",10,1171,0,1
"4295","5","H",5,1171,0,1
"4296","9","C",9,1171,0,0
"4297","8","H",8,1172,0,1
"4298","5","S",5,1172,0,1
"4299","9","D",9,1172,0,0
"4300","7","C",7,1173,0,1
"4301","J","D",10,1173,0,1
"4302","5","H",5,1173,0,0
"4303","A","C",1,1174,0,1
"4304","7","C",7,1174,0,1
"4305","9","D",9,1174,0,0
"4306","2","D",2,1174,0,0
"4307","9","S",9,1174,0,0
"4308","3","D",3,1175,0,1
"4309","4","C",4,1175,0,1
"4310","K","C",10,1175,0,0
"4311","8","S",8,1175,0,0
"4312","3","H",3,1176,0,1
"4313","4","H",4,1176,0,1
"4314","K","S",10,1176,0,0
"4315","10","C",10,1176,0,0
"4316","8","S",8,1177,0,1
"4317","2","D",2,1177,0,1
"4318","7","S",7,1177,0,0
"4319","K","C",10,1177,0,0
"4320","5","H",5,1178,0,1
"4321","6","C",6,1178,0,1
"4322","4","S",4,1178,0,0
"4323","K","H",10,1178,0,0
"4324","2","D",2,1179,0,1
"4325","8","S",8,1179,0,1
"4326","Q","H",10,1179,0,0
"4327","J","H",10,1179,0,0
"4328","5","C",5,1180,0,1
"4329","3","H",3,1180,0,1
"4330","5","S",5,1180,0,0
"4331","J","D",10,1180,0,0
"4332","A","C",1,1181,1,1
"4333","Q","H",10,1181,1,1
"4334","3","S",3,1182,0,1
"4335","5","C",5,1182,0,1
"4336","5","S",5,1182,0,0
"4337","4","D",4,1182,0,0
"4338","J","D",10,1182,0,0
"4339","9","D",9,1183,0,1
"4340","7","H",7,1183,0,1
"4341","K","H",10,1183,0,0
"4342","4","D",4,1184,1,1
"4343","A","S",1,1184,1,1
"4344","2","C",2,1184,1,0
"4345","A","H",1,1184,1,0
"4346","10","S",10,1184,1,0
"4347","3","S",3,1184,1,0
"4348","J","S",10,1185,0,1
"4349","4","C",4,1185,0,1
"4350","2","D",2,1185,0,0
"4351","9","C",9,1185,0,0
"4352","7","D",7,1186,0,1
"4353","9","C",9,1186,0,1
"4354","4","S",4,1186,0,0
"4355","4","C",4,1186,0,0
"4356","5","S",5,1187,0,1
"4357","Q","C",10,1187,0,1
"4358","9","H",9,1187,0,0
"4359","3","H",3,1188,0,1
"4360","7","H",7,1188,0,1
"4361","K","D",10,1188,0,0
"4362","Q","S",10,1188,0,0
"4363","J","C",10,1189,0,1
"4364","J","D",10,1189,0,1
"4365","6","H",6,1189,0,0
"4366","10","H",10,1190,0,1
"4367","4","D",4,1190,0,1
"4368","9","S",9,1190,0,0
"4369","9","S",9,1191,0,1
"4370","8","S",8,1191,0,1
"4371","2","C",2,1191,0,0
"4372","7","H",7,1191,0,0
"4373","4","C",4,1192,1,1
"4374","7","D",7,1192,1,1
"4375","Q","C",10,1192,1,0
"4376","6","H",6,1193,0,1
"4377","8","S",8,1193,0,1
"4378","4","H",4,1193,0,0
"4379","10","S",10,1193,0,0
"4380","J","H",10,1194,0,1
"4381","10","D",10,1194,0,1
"4382","7","H",7,1194,0,0
"4383","K","H",10,1195,1,1
"4384","A","S",1,1195,1,1
"4385","2","D",2,1196,0,1
"4386","10","C",10,1196,0,1
"4387","3","C",3,1196,0,0
"4388","3","S",3,1196,0,0
"4389","J","D",10,1196,0,0
"4390","Q","S",10,1197,0,1
"4391","10","H",10,1197,0,1
"4392","6","H",6,1197,0,0
"4393","8","H",8,1198,0,1
"4394","9","H",9,1198,0,1
"4395","5","H",5,1198,0,0
"4396","8","H",8,1199,0,1
"4397","5","D",5,1199,0,1
"4398","10","D",10,1199,0,0
"4399","4","H",4,1200,0,1
"4400","6","D",6,1200,0,1
"4401","6","S",6,1200,0,0
"4402","A","S",1,1200,0,0
"4403","Q","D",10,1200,0,0
"4404","9","H",9,1201,0,1
"4405","Q","S",10,1201,0,1
"4406","8","C",8,1201,0,0
"4407","Q","H",10,1202,0,1
"4408","3","D",3,1202,0,1
"4409","A","H",1,1202,0,0
"4410","Q","C",10,1202,0,0
"4411","A","D",1,1203,0,1
"4412","4","C",4,1203,0,1
"4413","K","D",10,1203,0,0
"4414","10","S",10,1203,0,0
"4415","9","H",9,1204,0,1
"4416","7","S",7,1204,0,1
"4417","8","H",8,1204,0,0
"4418","Q","C",10,1205,0,1
"4419","5","D",5,1205,0,1
"4420","9","H",9,1205,0,0
"4421","K","S",10,1206,0,1
"4422","3","S",3,1206,0,1
"4423","10","C",10,1206,0,0
"4424","J","C",10,1207,0,1
"4425","7","H",7,1207,0,1
"4426","A","S",1,1207,0,0
"4427","K","C",10,1207,0,0
"4428","5","C",5,1208,0,1
"4429","9","H",9,1208,0,1
"4430","2","H",2,1208,0,0
"4431","4","S",4,1208,0,0
"4432","5","H",5,1208,0,0
"4433","J","S",10,1209,0,1
"4434","J","C",10,1209,0,1
"4435","8","H",8,1209,0,0
"4436","7","H",7,1210,1,1
"4437","Q","S",10,1210,1,1
"4438","4","H",4,1210,1,0
"4439","K","S",10,1211,0,1
"4440","9","D",9,1211,0,1
"4441","9","C",9,1211,0,0
"4442","2","H",2,1212,0,1
"4443","8","D",8,1212,0,1
"4444","Q","S",10,1212,0,0
"4445","3","H",3,1212,0,0
"4446","J","S",10,1213,1,1
"4447","A","S",1,1213,1,1
"4448","A","S",1,1214,1,1
"4449","5","S",5,1214,1,1
"4450","5","D",5,1214,1,0
"4451","9","C",9,1215,0,1
"4452","Q","S",10,1215,0,1
"4453","J","S",10,1215,0,0
"4454","9","D",9,1216,1,1
"4455","A","S",1,1216,1,1
"4456","4","D",4,1216,1,0
"4457","7","H",7,1216,1,0
"4458","9","H",9,1217,1,1
"4459","2","C",2,1217,1,1
"4460","J","D",10,1217,1,0
"4461","3","C",3,1218,0,1
"4462","K","H",10,1218,0,1
"4463","A","C",1,1218,0,0
"4464","5","D",5,1218,0,0
"4465","A","D",1,1218,0,0
"4466","8","D",8,1218,0,0
"4467","7","H",7,1219,0,1
"4468","3","D",3,1219,0,1
"4469","Q","D",10,1219,0,0
"4470","4","S",4,1219,0,0
"4471","7","S",7,1220,0,1
"4472","J","S",10,1220,0,1
"4473","3","D",3,1220,0,0
"4474","8","H",8,1220,0,0
"4475","10","H",10,1221,0,1
"4476","2","D",2,1221,0,1
"4477","5","C",5,1221,0,0
"4478","10","C",10,1221,0,0
"4479","9","D",9,1222,0,1
"4480","6","S",6,1222,0,1
"4481","K","H",10,1222,0,0
"4482","K","H",10,1223,0,1
"4483","K","C",10,1223,0,1
"4484","J","S",10,1223,0,0
"4485","10","D",10,1224,1,1
"4486","2","S",2,1224,1,1
"4487","2","D",2,1224,1,0
"4488","7","S",7,1224,1,0
"4489","10","H",10,1225,0,1
"4490","K","C",10,1225,0,1
"4491","9","D",9,1225,0,0
"4492","9","C",9,1226,0,1
"4493","7","C",7,1226,0,1
"4494","8","D",8,1226,0,0
"4495","9","H",9,1227,0,1
"4496","5","C",5,1227,0,1
"4497","K","D",10,1227,0,0
"4498","6","C",6,1228,0,1
"4499","A","S",1,1228,0,1
"4500","K","D",10,1228,0,0
"4501","10","H",10,1228,0,0
"4502","9","H",9,1229,0,1
"4503","Q","H",10,1229,0,1
"4504","6","H",6,1229,0,0
"4505","10","H",10,1230,0,1
"4506","2","C",2,1230,0,1
"4507","4","H",4,1230,0,0
"4508","Q","C",10,1230,0,0
"4509","3","C",3,1231,1,1
"4510","5","H",5,1231,1,1
"4511","J","D",10,1231,1,0
"4512","3","H",3,1231,1,0
"4513","A","D",1,1232,1,1
"4514","J","D",10,1232,1,1
"4515","8","C",8,1233,0,1
"4516","7","C",7,1233,0,1
"4517","A","C",1,1233,0,0
"4518","4","C",4,1233,0,0
"4519","3","S",3,1233,0,0
"4520","J","D",10,1234,0,1
"4521","Q","C",10,1234,0,1
"4522","8","D",8,1234,0,0
"4523","7","D",7,1235,0,1
"4524","4","S",4,1235,0,1
"4525","2","C",2,1235,0,0
"4526","4","C",4,1235,0,0
"4527","2","D",2,1235,0,0
"4528","Q","S",10,1235,0,0
"4529","9","D",9,1236,0,1
"4530","4","S",4,1236,0,1
"4531","4","D",4,1236,0,0
"4532","6","S",6,1236,0,0
"4533","8","S",8,1237,0,1
"4534","5","S",5,1237,0,1
"4535","J","S",10,1237,0,0
"4536","9","C",9,1238,0,1
"4537","3","H",3,1238,0,1
"4538","A","D",1,1238,0,0
"4539","Q","S",10,1238,0,0
"4540","5","H",5,1239,0,1
"4541","10","S",10,1239,0,1
"4542","9","H",9,1239,0,0
"4543","Q","H",10,1240,0,1
"4544","2","S",2,1240,0,1
"4545","3","H",3,1240,0,0
"4546","2","C",2,1240,0,0
"4547","K","H",10,1240,0,0
"4548","7","S",7,1241,0,1
"4549","9","S",9,1241,0,1
"4550","Q","C",10,1241,0,0
"4551","10","S",10,1242,0,1
"4552","2","C",2,1242,0,1
"4553","2","D",2,1242,0,0
"4554","A","C",1,1242,0,0
"4555","3","D",3,1242,0,0
"4556","8","S",8,1242,0,0
"4557","3","S",3,1243,0,1
"4558","K","H",10,1243,0,1
"4559","3","D",3,1243,0,0
"4560","A","D",1,1243,0,0
"4561","J","D",10,1243,0,0
"4562","6","H",6,1244,0,1
"4563","K","S",10,1244,0,1
"4564","K","H",10,1244,0,0
"4565","8","C",8,1245,0,1
"4566","6","S",6,1245,0,1
"4567","3","S",3,1245,0,0
"4568","Q","D",10,1245,0,0
"4569","K","S",10,1246,0,1
"4570","10","H",10,1246,0,1
"4571","10","D",10,1246,0,0
"4572","A","C",1,1247,0,1
"4573","6","D",6,1247,0,1
"4574","J","H",10,1247,0,0
"4575","6","C",6,1247,0,0
"4576","4","H",4,1248,1,1
"4577","10","D",10,1248,1,1
"4578","7","D",7,1248,1,0
"4579","A","D",1,1249,1,1
"4580","2","S",2,1249,1,1
"4581","8","D",8,1249,1,0
"4582","5","D",5,1250,0,1
"4583","J","S",10,1250,0,1
"4584","2","S",2,1250,0,0
"4585","A","D",1,1250,0,0
"4586","9","C",9,1250,0,0
"4587","K","D",10,1251,0,1
"4588","7","C",7,1251,0,1
"4589","9","D",9,1251,0,0
"4590","10","H",10,1252,0,1
"4591","7","C",7,1252,0,1
"4592","9","S",9,1252,0,0
"4593","7","C",7,1253,1,1
"4594","Q","S",10,1253,1,1
"4595","4","D",4,1253,1,0
"4596","3","H",3,1254,0,1
"4597","Q","S",10,1254,0,1
"4598","K","S",10,1254,0,0
"4599","2","C",2,1255,0,1
"4600","A","H",1,1255,0,1
"4601","4","D",4,1255,0,0
"4602","10","S",10,1255,0,0
"4603","6","H",6,1255,0,0
"4604","8","D",8,1256,0,1
"4605","K","C",10,1256,0,1
"4606","K","S",10,1256,0,0
"4607","8","H",8,1257,0,1
"4608","8","S",8,1257,0,1
"4609","J","C",10,1257,0,0
"4610","K","D",10,1258,0,1
"4611","3","C",3,1258,0,1
"4612","4","D",4,1258,0,0
"4613","2","H",2,1258,0,0
"4614","6","C",6,1258,0,0
"4615","7","S",7,1259,0,1
"4616","10","C",10,1259,0,1
"4617","2","C",2,1259,0,0
"4618","6","S",6,1259,0,0
"4619","A","S",1,1260,1,1
"4620","K","C",10,1260,1,1
"4621","8","S",8,1261,0,1
"4622","7","D",7,1261,0,1
"4623","7","H",7,1261,0,0
"4624","Q","C",10,1262,0,1
"4625","7","D",7,1262,0,1
"4626","10","C",10,1262,0,0
"4627","9","D",9,1263,0,1
"4628","6","H",6,1263,0,1
"4629","7","S",7,1263,0,0
"4630","4","H",4,1264,0,1
"4631","8","D",8,1264,0,1
"4632","A","S",1,1264,0,0
"4633","Q","S",10,1264,0,0
"4634","6","D",6,1265,0,1
"4635","K","D",10,1265,0,1
"4636","8","D",8,1265,0,0
"4637","6","D",6,1266,1,1
"4638","A","C",1,1266,1,1
"4639","10","S",10,1266,1,0
"4640","4","C",4,1266,1,0
"4641","4","H",4,1267,1,1
"4642","7","S",7,1267,1,1
"4643","3","D",3,1267,1,0
"4644","6","C",6,1267,1,0
"4645","A","D",1,1267,1,0
"4646","J","H",10,1268,0,1
"4647","5","C",5,1268,0,1
"4648","10","S",10,1268,0,0
"4649","2","H",2,1269,0,1
"4650","10","C",10,1269,0,1
"4651","J","C",10,1269,0,0
"4652","9","D",9,1270,0,1
"4653","5","S",5,1270,0,1
"4654","6","H",6,1270,0,0
"4655","6","S",6,1270,0,0
"4656","2","C",2,1271,1,1
"4657","2","S",2,1271,1,1
"4658","5","C",5,1271,1,0
"4659","7","S",7,1271,1,0
"4660","3","S",3,1271,1,0
"4661","2","H",2,1271,1,0
"4662","J","C",10,1272,0,1
"4663","10","D",10,1272,0,1
"4664","3","H",3,1272,0,0
"4665","K","H",10,1273,1,1
"4666","9","S",9,1273,1,1
"4667","2","C",2,1273,1,0
"4668","4","C",4,1274,1,1
"4669","7","D",7,1274,1,1
"4670","10","S",10,1274,1,0
"4671","Q","D",10,1275,1,1
